AMPID,TITLE,LATITUD,LONGITUD,TYPE,DESCRIPTION
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.61667,-88.8,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.23333,-87.63333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.3,-87.11667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.76667,-88.78333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.66667,-88.7,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.9,-88.78333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.08472,-83.35361,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.18333,-84.61667,MULTISECTOR / CORTE CRUZADO,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,15.66667,-87,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,13.33333,-87.08333,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.91667,-88.91667,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.08333,-87.91667,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.5,-89,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.83333,-86,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.5,-86.8,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.1,-87.83333,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.55,-86.3,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.31667,-88.18333,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.6,-88.46667,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.78333,-88.58333,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,15.78333,-85.48333,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.38333,-88,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.41,-89.23,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,15.7,-87.58,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.29,-86.7,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,15.14,-88.27,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.16667,-86.95,GOBIERNO Y SOCIEDAD CIVIL,
87171353183,[OCH] Oficina de Conjuntos Hist•À_ricos de la Mancomunidad COLOSUCA [2009],14.5,-88.5,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171353183,[OCH] Oficina de Conjuntos Hist•À_ricos de la Mancomunidad COLOSUCA [2009],14.58333,-88.58333,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171353183,[OCH] Oficina de Conjuntos Hist•À_ricos de la Mancomunidad COLOSUCA [2009],14.45,-88.66667,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171353183,[OCH] Oficina de Conjuntos Hist•À_ricos de la Mancomunidad COLOSUCA [2009],14.41614,-88.60126,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171353183,[OCH] Oficina de Conjuntos Hist•À_ricos de la Mancomunidad COLOSUCA [2009],14.4,-88.73333,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171352838,"Acceso Agua Potable en Santa Rosa de Copan, Fase III",14.76667,-88.78333,AGUA Y SANEAMIENTO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.4,-87.73333,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.45,-87.63333,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.575,-87.74306,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.65,-87.41,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.88,-87.55,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.9,-87.58333,MULTISECTOR / CORTE CRUZADO,
